Numbers 12:3	(Now the man Moses was very meek, above all the men which were on the face of the earth.)
1 Kings 6:18	And the cedar of the house within was carved with knops and open flowers: all was cedar; there was no stone seen.
John 6:70	Jesus answered them, Have not I chosen you twelve, and one of you is a devil?
Proverbs 17:16	Why is there a price in the hand of a fool to get wisdom, seeing he has no heart to it?
Exodus 3:8	And I am come down to deliver them out of the hand of the Egyptians, and to bring them up out of that land to a good land and a large, to a land flowing with milk and honey; to the place of the Canaanites, and the Hittites, and the Amorites, and the Perizzites, and the Hivites, and the Jebusites.
Job 37:1	At this also my heart trembles, and is moved out of his place.
Jeremiah 50:34	Their Redeemer is strong; the LORD of hosts is his name: he shall thoroughly plead their cause, that he may give rest to the land, and disquiet the inhabitants of Babylon.
1 Kings 5:13	And king Solomon raised a levy out of all Israel; and the levy was thirty thousand men.
Acts 22:6	And it came to pass, that, as I made my journey, and was come near to Damascus about noon, suddenly there shone from heaven a great light round about me.
Genesis 38:22	And he returned to Judah, and said, I cannot find her; and also the men of the place said, that there was no harlot in this place.
John 5:29	And shall come forth; they that have done good, to the resurrection of life; and they that have done evil, to the resurrection of damnation.
Job 23:16	For God makes my heart soft, and the Almighty troubles me:
Numbers 7:45	One young bullock, one ram, one lamb of the first year, for a burnt offering:
Ezekiel 41:6	And the side chambers were three, one over another, and thirty in order; and they entered into the wall which was of the house for the side chambers round about, that they might have hold, but they had not hold in the wall of the house.
Psalm 44:1	We have heard with our ears, O God, our fathers have told us, what work you did in their days, in the times of old.
Leviticus 3:16	And the priest shall burn them on the altar: it is the food of the offering made by fire for a sweet smell: all the fat is the LORD’s.
1 Corinthians 11:17	Now in this that I declare to you I praise you not, that you come together not for the better, but for the worse.
Luke 14:24	For I say to you, That none of those men which were bidden shall taste of my supper.
John 15:17	These things I command you, that you love one another.
1 Kings 7:10	And the foundation was of costly stones, even great stones, stones of ten cubits, and stones of eight cubits.
Exodus 20:16	You shall not bear false witness against your neighbor.
Deuteronomy 25:12	Then you shall cut off her hand, your eye shall not pity her.
Psalm 90:12	So teach us to number our days, that we may apply our hearts to wisdom.
2 Chronicles 25:7	But there came a man of God to him, saying, O king, let not the army of Israel go with you; for the LORD is not with Israel, to wit, with all the children of Ephraim.
Leviticus 2:8	And you shall bring the meat offering that is made of these things to the LORD: and when it is presented to the priest, he shall bring it to the altar.
1 Corinthians 11:8	For the man is not of the woman: but the woman of the man.
Numbers 28:2	Command the children of Israel, and say to them, My offering, and my bread for my sacrifices made by fire, for a sweet smell to me, shall you observe to offer to me in their due season.
Genesis 38:29	And it came to pass, as he drew back his hand, that, behold, his brother came out: and she said, How have you broken forth? this breach be on you: therefore his name was called Pharez.
2 Chronicles 15:2	And he went out to meet Asa, and said to him, Hear you me, Asa, and all Judah and Benjamin; The LORD is with you, while you be with him; and if you seek him, he will be found of you; but if you forsake him, he will forsake you.
2 Kings 25:23	And when all the captains of the armies, they and their men, heard that the king of Babylon had made Gedaliah governor, there came to Gedaliah to Mizpah, even Ishmael the son of Nethaniah, and Johanan the son of Careah, and Seraiah the son of Tanhumeth the Netophathite, and Jaazaniah the son of a Maachathite, they and their men.
Genesis 25:25	And the first came out red, all over like an hairy garment; and they called his name Esau.
Genesis 36:18	And these are the sons of Aholibamah Esau’s wife; duke Jeush, duke Jaalam, duke Korah: these were the dukes that came of Aholibamah the daughter of Anah, Esau’s wife.
Matthew 27:9	Then was fulfilled that which was spoken by Jeremy the prophet, saying, And they took the thirty pieces of silver, the price of him that was valued, whom they of the children of Israel did value;
Jeremiah 11:7	For I earnestly protested to your fathers in the day that I brought them up out of the land of Egypt, even to this day, rising early and protesting, saying, Obey my voice.
Matthew 24:1	And Jesus went out, and departed from the temple: and his disciples came to him for to show him the buildings of the temple.
Proverbs 27:12	A prudent man foresees the evil, and hides himself; but the simple pass on, and are punished.
Romans 11:16	For if the first fruit be holy, the lump is also holy: and if the root be holy, so are the branches.
Genesis 11:17	And Eber lived after he begat Peleg four hundred and thirty years, and begat sons and daughters.
Job 23:2	Even to day is my complaint bitter: my stroke is heavier than my groaning.
Ezekiel 1:11	Thus were their faces: and their wings were stretched upward; two wings of every one were joined one to another, and two covered their bodies.
Psalm 77:4	You hold my eyes waking: I am so troubled that I cannot speak.
Ezekiel 28:25	Thus said the Lord GOD; When I shall have gathered the house of Israel from the people among whom they are scattered, and shall be sanctified in them in the sight of the heathen, then shall they dwell in their land that I have given to my servant Jacob.
Proverbs 14:3	In the mouth of the foolish is a rod of pride: but the lips of the wise shall preserve them.
Amos 8:14	They that swear by the sin of Samaria, and say, Your god, O Dan, lives; and, The manner of Beersheba lives; even they shall fall, and never rise up again.
1 Samuel 17:41	And the Philistine came on and drew near to David; and the man that bore the shield went before him.
2 Chronicles 6:21	Listen therefore to the supplications of your servant, and of your people Israel, which they shall make toward this place: hear you from your dwelling place, even from heaven; and when you hear, forgive.
Isaiah 14:1	For the LORD will have mercy on Jacob, and will yet choose Israel, and set them in their own land: and the strangers shall be joined with them, and they shall join to the house of Jacob.
Luke 21:34	And take heed to yourselves, lest at any time your hearts be overcharged with surfeiting, and drunkenness, and cares of this life, and so that day come on you unawares.
Psalm 91:6	Nor for the pestilence that walks in darkness; nor for the destruction that wastes at noonday.
